File,Name,CWEs,Category
lib/updatehub/updatehub.c,memcpy,CWE-120,buffer
lib/updatehub/updatehub.c,memcpy,CWE-120,buffer
lib/updatehub/updatehub.c,memcpy,CWE-120,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strncat,CWE-120,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strncat,CWE-120,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
lib/updatehub/updatehub.c,strlen,CWE-126,buffer
samples/basic/threads/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/central_hr/src/main.c,char,CWE-119,buffer
samples/bluetooth/central_hr/src/main.c,char,CWE-119,buffer
samples/bluetooth/central_hr/src/main.c,char,CWE-119,buffer
samples/bluetooth/central/src/main.c,char,CWE-119,buffer
samples/bluetooth/central/src/main.c,char,CWE-119,buffer
samples/bluetooth/central/src/main.c,char,CWE-119,buffer
samples/bluetooth/eddystone/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/eddystone/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/eddystone/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/eddystone/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/eddystone/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/hci_uart/src/main.c,read,"CWE-120, CWE-20",buffer
samples/bluetooth/ipsp/src/main.c,char,CWE-119,buffer
samples/bluetooth/ipsp/src/main.c,char,CWE-119,buffer
samples/bluetooth/peripheral_csc/src/main.c,memcpy,CWE-120,buffer
samples/bluetooth/peripheral_csc/src/main.c,memcpy,CWE-120,buffer
