File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
RIOT 2018.07/sys/shell/commands/sc_fib.c,97,5,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"    memcpy(dst_arr, dest, i);",e536d6d0762cc51a0ffe61d46e3feb70ad476b376412f4cdef4af80522dd81db
RIOT 2018.07/sys/shell/commands/sc_fib.c,167,34,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,            kernel_pid_t iface = atoi(argv[2]);,5425b1cd00eddcee55f78c3a584e932a2b1274f9c017a19bfa56841ec0448a01
RIOT 2018.07/sys/shell/commands/sc_fib.c,213,32,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,                     (uint32_t)atoi(argv[6]));,d49911b19960844827dd4e8b3598e034220a68d68a1c6706c9e75ec1fb5a9d42
RIOT 2018.07/sys/shell/commands/sc_fib.c,227,54,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,"            _fib_add(argv[2], argv[4], (kernel_pid_t)atoi(argv[6]), (uint32_t)FIB_LIFETIME_NO_EXPIRE);",648be5b0229f2087f3be39177ba11db72026bd8410a7ad5cfee64ade39bf8759
RIOT 2018.07/sys/shell/commands/sc_fib.c,242,55,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,"            _fib_add(argv[2], argv[4], (kernel_pid_t )atoi(argv[6]), (uint32_t)atoi(argv[8]));",645e2b5d0a3de01fada8797f96eaee8c7dee6a3926a0f524c2d16e57165267ac
RIOT 2018.07/sys/shell/commands/sc_fib.c,242,80,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,"            _fib_add(argv[2], argv[4], (kernel_pid_t )atoi(argv[6]), (uint32_t)atoi(argv[8]));",645e2b5d0a3de01fada8797f96eaee8c7dee6a3926a0f524c2d16e57165267ac
RIOT 2018.07/sys/shell/commands/sc_gnrc_6ctx.c,51,13,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,            char addr_str[IPV6_ADDR_MAX_STR_LEN];,b96ead1759e8842062eb2a00251d5d73eed5745405de8bfc528427029890dd5c
RIOT 2018.07/sys/shell/commands/sc_gnrc_6ctx.c,67,20,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    unsigned ctx = atoi(ctx_str);,598e47949120d230bdd272088becd3b37c0e4ac0a5393c35a9a63249d6eea6e3
RIOT 2018.07/sys/shell/commands/sc_gnrc_6ctx.c,82,18,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    prefix_len = atoi(prefix_len_str);,110a27ebe3aca85e87de59b82f6043a1b025fdf14aece08e793534c3142a82ec
RIOT 2018.07/sys/shell/commands/sc_gnrc_6ctx.c,92,13,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    ltime = atoi(ltime_str);,d027433335d7c25323aacc3abbb5b0067a14b6e023ef73024add560426199264
